first-stage tube temperature (Tt) ,high-temperature fan speed (Sf),temperature (Tf) in the pre-calciner,kiln tail air pressure (Pk),kiln motor current (Ik),kiln tail temperature (Tk),secondary air temperature feedback (Ta),second chamber grate pressure (Pg),EP fan speed (Sa)
0.442437702,0.438063942,0.4575884,0.352578247,0.494499909,0.311165755,0.466292062,0.708981109,0.506557741
0.428747213,0.438244787,0.488303477,0.351501249,0.481999568,0.309238934,0.458756429,0.710415347,0.510813732
0.431748312,0.437868187,0.497381294,0.357376603,0.481853807,0.305385379,0.458723742,0.709348757,0.510899145
0.445600425,0.438049272,0.502081487,0.361824469,0.471474623,0.305296647,0.450975857,0.709275115,0.509022508
0.454772787,0.438214967,0.491399826,0.36818753,0.468122875,0.311077023,0.443456776,0.709201473,0.504409415
0.456974448,0.438478779,0.470599701,0.374414969,0.457516842,0.312255986,0.446356113,0.708907467,0.495672108
0.459829908,0.438493689,0.460042827,0.37578023,0.462763229,0.310493817,0.45000918,0.709275115,0.491886288
0.466195715,0.438313084,0.444206567,0.376506738,0.465645524,0.314879936,0.451352931,0.710194608,0.487965435
0.470360904,0.438440782,0.443510241,0.378724023,0.473158499,0.310392533,0.443800607,0.710010972,0.493219528
0.464078034,0.438523509,0.441533271,0.385877414,0.488832656,0.307147289,0.441917185,0.709311842,0.496771891
0.462610945,0.438501144,0.447880191,0.397139882,0.495843842,0.305055643,0.444374076,0.708797098,0.49678164
0.452247913,0.43833545,0.442891359,0.40686158,0.509105074,0.301367,0.436576536,0.710157881,0.487078759
0.454048781,0.438410721,0.425697011,0.410983422,0.511145308,0.297779467,0.433251026,0.709127831,0.47674952
0.463719748,0.438358055,0.418759368,0.412924677,0.516067673,0.294255388,0.442293425,0.709348757,0.476311897
0.480150909,0.438320299,0.431766163,0.412649178,0.520682513,0.293241509,0.450074552,0.709459126,0.480791604
0.49321419,0.438410962,0.47185986,0.408577861,0.532502969,0.286054064,0.443882531,0.708870553,0.486994201
0.489280748,0.438448478,0.487179635,0.398781705,0.53172558,0.283353849,0.427730672,0.709017649,0.485764243
0.467185433,0.43855357,0.502077656,0.391039024,0.528454672,0.282314432,0.416787883,0.710231523,0.484251208
0.451595184,0.438237572,0.478951111,0.392843061,0.524746648,0.283784956,0.421194541,0.709238387,0.47976256
0.456633171,0.438388356,0.454186153,0.404294337,0.507372694,0.286928656,0.418704686,0.709311655,0.473753581
0.481033252,0.438372965,0.435549235,0.418136813,0.510740528,0.28867784,0.41895032,0.710121154,0.469443915
0.490499016,0.438471324,0.434399147,0.425302436,0.500879631,0.288969487,0.425421078,0.709495666,0.471222111
0.493568169,0.438448478,0.460301391,0.425214681,0.494839852,0.28585115,0.431416425,0.709312029,0.47227227
0.496834004,0.438508599,0.477747905,0.424775904,0.496442969,0.284583455,0.440655636,0.709164745,0.476892665
0.511039062,0.438485993,0.460304606,0.426704926,0.499487028,0.282048151,0.441310752,0.71037862,0.46961226
0.501364933,0.438440782,0.43684462,0.425753445,0.500086073,0.283543865,0.434496162,0.710231336,0.463483708
0.491080578,0.438313084,0.434559799,0.424048864,0.505154281,0.284912931,0.42702618,0.708245252,0.462932195
0.459844807,0.438342905,0.446250103,0.422332582,0.512780762,0.284545452,0.416263652,0.709054564,0.464028728
0.459661951,0.438320059,0.453716386,0.41890055,0.515290613,0.282136796,0.404517895,0.709128018,0.468689803
0.464050382,0.438274847,0.452817179,0.408465109,0.514578144,0.283404491,0.408072625,0.707656679,0.47290918
0.490847728,0.438282543,0.45887801,0.398517375,0.510983379,0.28488774,0.423700809,0.70857636,0.480228645
0.514289983,0.438606476,0.47409794,0.39636338,0.509687951,0.28592707,0.433873733,0.709348569,0.491547047
0.52212072,0.438214486,0.484004565,0.399157192,0.507162179,0.285381954,0.442834347,0.707950871,0.496806042
0.518581701,0.438900109,0.453247258,0.401963767,0.502822608,0.286522828,0.442899719,0.708833638,0.488974112
0.525576854,0.43836527,0.437556281,0.398229644,0.512327395,0.283366315,0.444193676,0.70993733,0.478977586
0.529427366,0.438358055,0.427742457,0.392505336,0.515792567,0.28277073,0.449485088,0.709128018,0.472431722
0.53777053,0.438342905,0.437003949,0.388947255,0.535676455,0.277294553,0.460362226,0.709606222,0.470782835
0.532848404,0.438297693,0.448983544,0.38709216,0.546735773,0.272490053,0.468143075,0.709090916,0.472731874
0.538159606,0.43833545,0.44149166,0.386654447,0.545084068,0.272261948,0.461852717,0.709826961,0.475466705
0.548960624,0.438357815,0.447276662,0.384950398,0.538995867,0.269764647,0.45569366,0.708723269,0.482473003
0.560833246,0.438387875,0.465290861,0.383021376,0.524908742,0.269815376,0.450778905,0.710158068,0.488629225
0.558540168,0.438297693,0.482021851,0.389122234,0.528697689,0.267952095,0.443063707,0.71030479,0.487632743
0.546358179,0.438320299,0.496206259,0.395574114,0.519824283,0.269561906,0.430302451,0.710157881,0.485606429
0.522704374,0.438305389,0.490137094,0.398793406,0.518528937,0.272338041,0.428942705,0.708392348,0.482196423
0.522253612,0.438403507,0.484891617,0.401637211,0.520115804,0.277167731,0.442096751,0.710525716,0.484411462
0.553712636,0.43835036,0.479897023,0.403754508,0.519451922,0.278701622,0.448223539,0.709459126,0.485017481
